"","PITCHER_KEY","PITCH_TYPE_KEY","PLATE_X","PLATE_Z","PITCH_RESULT_KEY","RELEASE_SPEED","HORIZONTAL_BREAK","INDUCED_VERTICAL_BREAK","RELEASE_HEIGHT","woba_value","GRAVITY"
"1","A","FB",4.70379602909088,13.9815602302552,"BallCalled",96.5615997314453,"-10.9506998062134",21.1921005249023,71.274118423462,NA,36
"2","A","FB",-20.875319480896,45.2220010757447,"BallCalled",96.3339004516602,"-14.7102003097534",19.4993991851807,71.4631175994874,NA,36
"3","A","FB",-12.4708800315857,32.0518798828126,"StrikeCalled",95.5989990234375,"-10.5111999511719",21.9456996917725,71.2513217926025,NA,36
"4","A","CB",5.52087593078614,-1.03584122657776,"BallCalled",77.9998016357422,"7.3812198638915998",-18.108699798584,70.9512004852295,NA,36
"5","A","FB",-17.5693202018737,57.9655208587646,"BallCalled",95.2509994506836,"-7.92814016342163",17.1016006469727,71.7064819335937,NA,36
"6","A","CB",-1.26836398243904,18.4979996681213,"StrikeCalled",78.1960983276367,"8.4697103500366193",-18.3964004516602,71.9139575958252,NA,36
"7","A","CB",2.32942807674408,10.5587160587311,"StrikeSwinging",78.8714981079102,"9.5002403259277308",-16.7688007354736,70.1043605804443,NA,36
"8","A","CB",-0.00729154818691313,24.151439666748,"InPlay",78.9595031738281,"11.1745004653931",-15.3870000839233,70.5495586395264,0,36
"9","A","SL",6.96053981781006,9.91119575500488,"BallCalled",83.1871032714844,"18.388599395751999",2.96637010574341,69.0208797454834,NA,36
"10","A","FB",4.30152010917664,18.2401199340821,"StrikeCalled",96.886100769043,"-10.045800209045399",17.2348003387451,70.9501190185547,NA,36
"11","A","FB",-1.32488402724266,34.0173597335815,"FoulBall",96.5177993774414,"-9.1258296966552699",16.6389007568359,71.2381210327148,NA,36
"12","A","SL",-1.05645963549614,50.0788822174073,"BallCalled",82.2802963256836,"19.8579006195068",1.35006999969482,68.4377975463868,NA,36
"13","A","SL",13.595160484314,23.2394399642945,"StrikeSwinging",82.8797988891602,"20.07200050354",1.26823997497559,68.196481704712,NA,36
"14","A","CB",-0.20983799546957,36.5311203002929,"StrikeCalled",78.431999206543,"11.174699783325201",-14.8732004165649,70.8724822998047,NA,36
"15","A","SL",-2.54313594102859,27.8734788894653,"StrikeCalled",83.0954971313477,"19.774700164794901",-0.19208499789238,67.424280166626,NA,36
"16","A","FB",0.158172000199556,31.4093999862671,"FoulBall",97.3958969116211,"-10.331999778747599",19.548900604248,71.5294818878174,NA,36
"17","A","CB",0.595453217625618,16.1409602165222,"FoulBall",79.1544036865234,"9.3663101196289098",-14.8725004196167,69.8495979309082,NA,36
"18","A","SL",1.70734798908234,22.1041202545166,"BallCalled",82.6594009399414,"13.1226997375488",4.92031002044678,69.2186393737793,NA,36
"19","A","SL",3.39900004863739,21.9896407127381,"InPlay",82.3963317871094,"14.670240402221699",3.51684999465942,67.689359664917,0,36
"20","A","CB",-7.9881362915039,37.3935613632202,"StrikeCalled",77.4039001464844,"10.0663003921509",-15.9375,71.83740234375,NA,36
"21","A","FB",9.93739199638367,34.6734008789063,"BallCalled",96.3196029663086,"-10.002200126647899",19.9794998168945,71.7350406646728,NA,36
"22","A","FB",-12.4633197784424,22.3423204421998,"BallCalled",96.2334976196289,"-12.7059001922607",21.5188007354736,71.4950408935547,NA,36
"23","A","FB",7.39429235458374,10.9342560768127,"BallCalled",95.8259963989258,"-11.0524997711182",20.9750995635986,70.4905185699463,NA,36
"24","A","FB",1.40409600734711,23.1324005126953,"InPlay",96.0680999755859,"-9.0951995849609393",21.2756996154785,70.9155578613281,0,36
"25","A","CB",8.91651606559753,4.37074792385101,"BallCalled",78.6492004394531,"8.8187904357910192",-16.1742000579834,70.6448421478272,NA,36
"26","A","FB",11.1754682064056,16.468560218811,"BallCalled",95.9085998535156,"-7.9184198379516602",19.8719997406006,70.860122680664,NA,36
"27","A","FB",-4.68855607509613,19.2980403900146,"StrikeCalled",95.2161026000977,"-8.3386001586914098",21.3966007232666,71.7117576599122,NA,36
"28","A","CB",9.61985993385314,9.20847630500794,"BallCalled",78.9649963378906,"6.6567401885986301",-16.8955001831055,70.5584392547608,NA,36
"29","A","FB",-6.43009185791016,31.1282386779785,"StrikeCalled",95.4141006469727,"-9.5303401947021502",21.0088996887207,72.4832382202148,NA,36
"30","A","SL",7.44324016571045,11.8437716960907,"BallCalled",83.1792984008789,"16.826000213623001",-0.863828003406525,68.7539978027344,NA,36
"31","A","SL",9.41379618644714,15.0036005973816,"BallCalled",83.3932037353516,"18.698200225830099",0.449263006448746,68.2968006134033,NA,36
"32","A","SL",7.4471640586853,26.4832792282104,"StrikeSwinging",83.3836975097656,"19.5372009277344",0.589927971363068,68.8759174346924,NA,36
"33","A","SL",11.9299557209015,24.2174406051636,"StrikeSwinging",83.6157989501953,"18.5478000640869",0.307619005441666,67.7409610748291,NA,36
"34","A","SL",6.78574776649475,26.573281288147,"InPlay",83.214599609375,"18.755399703979499",1.89696002006531,67.9412384033203,0,36
"35","A","FB",6.06742787361145,35.8323612213134,"StrikeCalled",94.2917022705078,"-11.672900199890099",19.0081996917725,72.1898403167725,NA,36
"36","A","FB",2.78521192073822,38.2192811965943,"BallCalled",94.8023986816406,"-12.8992004394531",19.9356994628906,71.9110794067382,NA,36
"37","A","FB",7.91404795646668,21.3201599121094,"StrikeCalled",94.6048965454102,"-10.5183000564575",19.3423004150391,71.4997215270996,NA,36
